file_name,filesize_kb,vehicle_id,make,model,year,region,date_time,time_utc_local,recording_software
DataLog_20171017_091942.csv,299,1,Honda,Civic,2016,Washington DC,2017-10-17 09:19L,local,ODBwiz
DataLog_20171020_074200.csv,2691,1,Honda,Civic,2016,Washington DC,2017-10-20 07:42L,local,ODBwiz
DataLog_20171022_091152.csv,1025,1,Honda,Civic,2016,Washington DC,2017-10-22 09:11L,local,ODBwiz
