Time,Calculated load value,Time,Engine RPM,Time,Vehicle speed,Time,Intake air temperature,Time,Time since engine start,Time,Barometric pressure,Time,Control module voltage,Time,Relative throttle position,Time,Accelerator pedal position D,Time,Engine coolant temperature,Time,Commanded throttle actuator control,Time,Fuel rate,Time,Instant fuel economy,Time,Total fuel economy
1.7001764,18.82353,1.7081539,886,1.6761384,0,17.6857845,60.8,17.6919647,363,1.777146,14.50377,17.7059714,12.957,1.7845216,2.745098,1.7911535,19.60784,34.332022,129.2,1.796664,3.137255,1.6852027,0.2481324,1.6852027,0,1.6852027,31.82896
1.7652108,18.82353,1.7711546,888,1.7470857,0,18.6341327,60.8,18.6411105,364,1.8371603,14.50377,18.6551369,12.982,1.8451961,2.745098,1.8521399,19.60784,36.0761603,129.2,1.8581834,3.137255,1.7531901,0.2453865,1.7531901,0,1.7531901,31.82871
1.8241536,18.82353,1.8311644,890,1.8051836,0,19.3894766,60.8,19.3971464,365,1.9251616,14.50377,19.4111684,12.982,1.9311728,2.745098,1.9371665,19.60784,37.6634198,129.2,1.945188,3.137255,1.8111762,0.2488427,1.8111762,0,1.8111762,31.8285
1.9081964,18.82353,1.9171515,886,1.8671689,0,20.2222275,60.8,20.2799519,366,1.9851905,14.50377,20.3069332,13.007,1.9921497,2.745098,2.0011631,19.60784,39.1483147,129.2,2.0081175,3.137255,1.873201,0.2486343,1.873201,0,1.873201,31.82827
1.97137,18.82353,2.0481934,888,2.0201503,0,20.9241949,60.8,20.9294825,366,2.0550976,14.50377,20.943043,13.007,2.0610883,2.745098,2.0671256,19.60784,40.6043359,129.2,2.073106,3.137255,1.9589667,0.2503609,1.9589667,0,1.9589667,31.82795
2.105108,19.60784,2.1113692,887,2.0790982,0,21.6082074,60.8,21.614197,367,2.118118,14.50377,21.6262703,12.857,2.1251135,2.745098,2.1310852,19.60784,42.2352331,131,2.1371001,3.137255,2.0261553,0.2572674,2.0261553,0,2.0261553,31.82769
2.0411125,19.60784,1.9792031,875,1.9511497,0,22.408251,60.8,22.4152409,368,2.1911801,14.50377,22.4282505,12.882,2.1981986,2.745098,2.2052084,19.60784,43.6835467,131,2.2121888,3.137255,2.0860897,0.2570837,2.0860897,0,2.0860897,31.82746
2.177077,19.60784,2.1851912,895,2.1570865,0,23.1903303,60.8,23.1972938,369,2.266109,14.50377,23.2293436,12.907,2.2731074,2.745098,2.2791814,19.60784,45.3686182,131,2.2861563,3.137255,2.1650809,0.2674361,2.1650809,0,2.1650809,31.82715
2.2541136,20.39216,2.2601154,877,2.2192012,0,23.8833524,60.8,23.8893732,369,2.3371707,14.50377,23.9023784,12.857,2.3521991,2.745098,2.3591949,19.60784,47.0917479,131,2.3652017,3.137255,2.2251934,0.2700242,2.2251934,0,2.2251934,31.82691
2.3111712,20.39216,2.3191682,892,2.2931602,0,24.5653643,60.8,24.5713678,370,2.4073912,14.50377,24.5833535,12.782,2.4141895,2.745098,2.4201861,19.60784,48.6368162,131,2.4261845,3.137255,2.2991784,0.2698061,2.2991784,0,2.2991784,31.82661
2.3921891,20.39216,2.3992128,887,2.3711749,0,25.2183765,60.8,25.2244786,371,2.4712445,14.50377,25.2384438,12.807,2.4772081,2.745098,2.4862032,19.60784,50.188792,131,2.4932213,3.137255,2.3771953,0.2775641,2.3771953,0,2.3771953,31.82629
2.4562096,21.56863,2.4651922,888,2.4351869,0,25.8744879,60.8,25.8800292,371,2.5331858,14.50377,25.8964914,12.857,2.5611842,2.745098,2.5681906,19.60784,51.7001518,131,2.5752154,3.137255,2.4411897,0.2861841,2.4411897,0,2.4411897,31.82602
2.5211809,21.56863,2.5271837,877,2.5002194,0,26.7245112,60.8,26.7305122,372,2.6132077,14.50377,26.7425236,12.732,2.6202069,3.137255,2.6262167,19.60784,53.0600193,131,2.6331945,3.137255,2.5072251,0.2936405,2.5072251,0,2.5072251,31.82573
2.6011929,21.56863,2.6072441,887,2.5812527,0,27.5035253,60.8,27.509527,373,2.6722165,14.50377,27.5285386,12.807,2.6782457,3.137255,2.686228,19.60784,54.3106883,131,2.6937751,3.137255,2.5882111,0.2936405,2.5882111,0,2.5882111,31.82538
2.6572091,23.52941,2.6649777,878,2.6391941,0,28.4536141,60.8,28.459657,374,2.9601232,14.50377,28.4726352,12.882,2.9662264,2.745098,2.9732652,19.60784,55.8562455,131,2.9792288,3.137255,2.6452112,0.3074184,2.6452112,0,2.6452112,31.82512
2.9461392,23.52941,2.9531255,888,2.9193761,0,29.193493,60.8,29.1996608,375,3.0272216,14.50377,29.2116856,12.957,3.0332336,2.745098,3.0392331,19.60784,57.4784325,131,3.0462374,3.137255,2.933352,0.3073227,2.933352,0,2.933352,31.8238
3.0092539,22.7451,3.0182533,902,2.9882187,0,29.8893397,60.8,29.8962201,375,3.0872172,14.50377,29.9077919,13.032,3.0942457,2.745098,3.1012444,19.60784,58.9724385,131,3.1072623,3.137255,2.9963784,0.3073227,2.9963784,0,2.9963784,31.82351
3.0732241,22.7451,3.0792287,892,3.0527373,0,30.6446979,60.8,30.650674,376,3.1667813,14.50377,30.6636713,12.857,3.17326,2.745098,3.1792342,19.60784,60.5705174,131,3.1862271,3.137255,3.0592324,0.2987143,3.0592324,0,3.0592324,31.82323
3.1332394,22.7451,3.1392397,908,3.1144597,0,31.2996154,60.8,31.3057807,377,3.2462388,14.50377,31.3217493,13.032,3.2592375,2.745098,3.2662773,19.60784,62.1585999,131,3.2727838,3.137255,3.1212254,0.2978441,3.1212254,0,3.1212254,31.82296
3.213228,22.7451,3.2261977,915,3.1932288,0,32.0279673,60.8,32.0339401,378,3.3132529,14.50377,32.0469909,12.957,3.3202466,2.745098,3.3262567,19.60784,63.5896397,131,3.3344534,3.137255,3.1992485,0.2978441,3.1992485,0,3.1992485,31.82261
3.3012466,22.7451,3.3072366,913,3.2822396,0,32.7868731,60.8,32.7929273,378,3.3932445,14.50377,32.8068718,13.007,3.3992583,2.745098,3.4072482,19.60784,64.9477756,132.8,3.413254,3.137255,3.2882365,0.2978441,3.2882365,0,3.2882365,31.82222
3.3592484,22.7451,3.3864283,909,3.3412352,0,33.6500875,60.8,33.6559166,379,3.4532503,14.50377,33.6689146,13.007,3.4592392,2.745098,3.4662512,19.60784,66.5829012,132.8,3.4732598,3.137255,3.3472527,0.29354,3.3472527,0,3.3472527,31.82196
3.4392396,22.35294,3.4472574,904,3.4202902,0,34.3450343,60.8,34.3510221,380,3.5132683,14.50377,34.3630169,12.782,3.5202502,2.745098,3.5272911,19.60784,68.4759335,132.8,3.5332584,3.137255,3.4262395,0.2918184,3.4262395,0,3.4262395,31.82162
3.5012989,22.35294,3.5073109,898,3.479263,0,35.1925861,60.8,35.1980142,381,3.5792659,14.50377,35.2110588,12.732,3.606805,2.745098,3.6132521,19.60784,69.9257431,132.8,3.6192608,3.137255,3.4872706,0.2918184,3.4872706,0,3.4872706,31.82135
3.567272,22.35294,3.5732576,893,3.5454319,0,36.0891631,60.8,36.0962726,382,3.661562,14.50377,36.1131519,12.932,3.667265,2.745098,3.6732664,19.60784,71.6211992,132.8,3.6793106,3.137255,3.5544361,0.29354,3.5544361,0,3.5544361,31.82106
